HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.Object,Input.Overview,Answer.“Activity”,Approve,Reject
3ZCC2DXSD7EWF0JIHEDGFLUAJP9YYJ,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Thu Mar 11 04:54:32 PST 2021,3,BatchId:4363370;OriginalHitTemplateId:928390909;,300,259200,Thu Mar 18 05:54:32 PDT 2021,,,3PXX5PX6LY82SUQYHIQHT8AP0JKABB,A3DTLM6EVD4EVV,Submitted,Thu Mar 11 05:04:16 PST 2021,Thu Mar 11 05:04:55 PST 2021,Sun Mar 14 06:04:55 PDT 2021,,,,39,0% (0/0),0% (0/0),0% (0/0),,"Experience the natural beauty of Jamaica on a full-day tour from Ocho Rios. Cool off at the waterfall pools of the Blue Hole, go horseback riding in the countryside, and view the Caribbean Sea and rain forest. Visit a Jamaican jerk eatery for a taste of traditional dishes, and go shopping on a tour led by a guide who shares live commentary about the region.","/Horseriding, Shopping",,
3ZCC2DXSD7EWF0JIHEDGFLUAJP9YYJ,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Thu Mar 11 04:54:32 PST 2021,3,BatchId:4363370;OriginalHitTemplateId:928390909;,300,259200,Thu Mar 18 05:54:32 PDT 2021,,,3X65QVEQI1X2YI98S9B2D6WICGILCA,A3TNLC6XGYNDKS,Submitted,Thu Mar 11 04:54:52 PST 2021,Thu Mar 11 04:56:48 PST 2021,Sun Mar 14 05:56:48 PDT 2021,,,,116,0% (0/0),0% (0/0),0% (0/0),,"Experience the natural beauty of Jamaica on a full-day tour from Ocho Rios. Cool off at the waterfall pools of the Blue Hole, go horseback riding in the countryside, and view the Caribbean Sea and rain forest. Visit a Jamaican jerk eatery for a taste of traditional dishes, and go shopping on a tour led by a guide who shares live commentary about the region.",/horseback riding,,
3H5TOKO3D9TEY9VSMOUHG56APEI647,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Thu Mar 11 04:54:32 PST 2021,3,BatchId:4363370;OriginalHitTemplateId:928390909;,300,259200,Thu Mar 18 05:54:32 PDT 2021,,,3QIYRE09Y4R8ZF2VOP2X92HGDETN1Q,A1V70LAP4UDYV6,Submitted,Thu Mar 11 05:12:44 PST 2021,Thu Mar 11 05:13:55 PST 2021,Sun Mar 14 06:13:55 PDT 2021,,,,71,0% (0/0),0% (0/0),0% (0/0),,"This combination tour includes both Dunn's River Falls and Blue Hole, two popular attractions near Ocho Rios. This family-friendly excursion features hiking to the waterfalls, cliff jumping at the Blue Hole, Tarzan rope swinging, and more. Entrance fees to the falls and Blue Hole are not included in the tour price.","hiking, cliff jumping, rope swinging",,
3H5TOKO3D9TEY9VSMOUHG56APEI647,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Thu Mar 11 04:54:32 PST 2021,3,BatchId:4363370;OriginalHitTemplateId:928390909;,300,259200,Thu Mar 18 05:54:32 PDT 2021,,,3ND9UOO81LCBCGFD90B3P03L4W0WLU,A24JKHC4HTY6CD,Submitted,Thu Mar 11 04:55:41 PST 2021,Thu Mar 11 04:56:21 PST 2021,Sun Mar 14 05:56:21 PDT 2021,,,,40,0% (0/0),0% (0/0),0% (0/0),,"This combination tour includes both Dunn's River Falls and Blue Hole, two popular attractions near Ocho Rios. This family-friendly excursion features hiking to the waterfalls, cliff jumping at the Blue Hole, Tarzan rope swinging, and more. Entrance fees to the falls and Blue Hole are not included in the tour price.",/JUMPING,,
3H5TOKO3D9TEY9VSMOUHG56APEI647,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Thu Mar 11 04:54:32 PST 2021,3,BatchId:4363370;OriginalHitTemplateId:928390909;,300,259200,Thu Mar 18 05:54:32 PDT 2021,,,32VNZTT0A8EA6CR64E2GGKTTQVR4R7,A3KQEFX15OV461,Submitted,Thu Mar 11 05:01:37 PST 2021,Thu Mar 11 05:02:51 PST 2021,Sun Mar 14 06:02:51 PDT 2021,,,,74,0% (0/0),0% (0/0),0% (0/0),,"This combination tour includes both Dunn's River Falls and Blue Hole, two popular attractions near Ocho Rios. This family-friendly excursion features hiking to the waterfalls, cliff jumping at the Blue Hole, Tarzan rope swinging, and more. Entrance fees to the falls and Blue Hole are not included in the tour price.","/hiking, cliff jumping, rope swinging",,
36818Z1KV3NU3FORCN6AM5GQ7YPA3V,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Fri Mar 12 03:37:18 PST 2021,3,BatchId:4364750;OriginalHitTemplateId:928390909;,300,259200,Fri Mar 19 04:37:18 PDT 2021,,,3OE22WJIGJY9B96L654YOYHITS4UQM,A3DQUOVL81OWGH,Submitted,Fri Mar 12 03:44:53 PST 2021,Fri Mar 12 03:45:22 PST 2021,Mon Mar 15 04:45:22 PDT 2021,,,,29,0% (0/0),0% (0/0),0% (0/0),,"Combine a Jamaican-style party and night swim in the enchanting Luminous Lagoon on a single tour. During the guided tour of the lagoon, watch the waters around you come alive with during a dip in the mangrove lake filled with glowing microorganisms. Learn about the natural phenomenon through your guide's commentary, then head back to dry land for a reggae and limbo party.",/swim,,
36818Z1KV3NU3FORCN6AM5GQ7YPA3V,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Fri Mar 12 03:37:18 PST 2021,3,BatchId:4364750;OriginalHitTemplateId:928390909;,300,259200,Fri Mar 19 04:37:18 PDT 2021,,,3OONKJ5DKDTRUYKZR1VZU3UUP6EOBQ,A2WZNLI23LGXBC,Submitted,Fri Mar 12 03:40:04 PST 2021,Fri Mar 12 03:40:32 PST 2021,Mon Mar 15 04:40:32 PDT 2021,,,,28,0% (0/0),0% (0/0),0% (0/0),,"Combine a Jamaican-style party and night swim in the enchanting Luminous Lagoon on a single tour. During the guided tour of the lagoon, watch the waters around you come alive with during a dip in the mangrove lake filled with glowing microorganisms. Learn about the natural phenomenon through your guide's commentary, then head back to dry land for a reggae and limbo party.",/Swimming,,
36818Z1KV3NU3FORCN6AM5GQ7YPA3V,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Fri Mar 12 03:37:18 PST 2021,3,BatchId:4364750;OriginalHitTemplateId:928390909;,300,259200,Fri Mar 19 04:37:18 PDT 2021,,,3RWE2M8QWIK8SQHDS6YXVXY68SD0N2,AKSLU0C30G3JT,Submitted,Fri Mar 12 03:41:27 PST 2021,Fri Mar 12 03:41:39 PST 2021,Mon Mar 15 04:41:39 PDT 2021,,,,12,0% (0/1),0% (0/1),0% (0/1),,"Combine a Jamaican-style party and night swim in the enchanting Luminous Lagoon on a single tour. During the guided tour of the lagoon, watch the waters around you come alive with during a dip in the mangrove lake filled with glowing microorganisms. Learn about the natural phenomenon through your guide's commentary, then head back to dry land for a reggae and limbo party.",/swim,,
34XASH8KLQW2C5237OTM8ZER6B6PM6,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Fri Mar 12 03:37:18 PST 2021,3,BatchId:4364750;OriginalHitTemplateId:928390909;,300,259200,Fri Mar 19 04:37:18 PDT 2021,,,374TNBHA8C5QSIQQG61NRJNVPGEQYF,A2WZNLI23LGXBC,Submitted,Fri Mar 12 03:39:20 PST 2021,Fri Mar 12 03:39:42 PST 2021,Mon Mar 15 04:39:42 PDT 2021,,,,22,0% (0/0),0% (0/0),0% (0/0),,"Explore Martinican sweeties and culture on this food and walking tour in the downtown of the chief town of Fort-de-France. Sample local sweeties and beyond the bites, you’ll also experience the rich culture and architecture that Fort-de-France has to offer. This is a small-group tour, with a maximum of 10 people, ensuring a personalized experience.",/Tour,,
34XASH8KLQW2C5237OTM8ZER6B6PM6,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Fri Mar 12 03:37:18 PST 2021,3,BatchId:4364750;OriginalHitTemplateId:928390909;,300,259200,Fri Mar 19 04:37:18 PDT 2021,,,3WOKGM4L72QQABHPTLYAAMYBY2I0OH,AHXHM1PQTRWIQ,Submitted,Fri Mar 12 03:38:55 PST 2021,Fri Mar 12 03:41:41 PST 2021,Mon Mar 15 04:41:41 PDT 2021,,,,166,0% (0/0),0% (0/0),0% (0/0),,"Explore Martinican sweeties and culture on this food and walking tour in the downtown of the chief town of Fort-de-France. Sample local sweeties and beyond the bites, you’ll also experience the rich culture and architecture that Fort-de-France has to offer. This is a small-group tour, with a maximum of 10 people, ensuring a personalized experience.",Walking Tour,,
34XASH8KLQW2C5237OTM8ZER6B6PM6,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Fri Mar 12 03:37:18 PST 2021,3,BatchId:4364750;OriginalHitTemplateId:928390909;,300,259200,Fri Mar 19 04:37:18 PDT 2021,,,3Y54SXRO1MVM3PYDN9YTT3S5DZ2TUY,AZPPTDTYRY6L8,Submitted,Fri Mar 12 03:40:32 PST 2021,Fri Mar 12 03:41:06 PST 2021,Mon Mar 15 04:41:06 PDT 2021,,,,34,0% (0/0),0% (0/0),0% (0/0),,"Explore Martinican sweeties and culture on this food and walking tour in the downtown of the chief town of Fort-de-France. Sample local sweeties and beyond the bites, you’ll also experience the rich culture and architecture that Fort-de-France has to offer. This is a small-group tour, with a maximum of 10 people, ensuring a personalized experience.",walking,,
307L9TDWJY21NYIGLRBF8B0Q65ON3S,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Fri Mar 12 03:37:18 PST 2021,4,BatchId:4364750;OriginalHitTemplateId:928390909;,300,259200,Fri Mar 19 04:37:18 PDT 2021,,,3GFK2QRXXARXARCSHDVW8B7OIJ1W5X,A1R92V4IRSZ3PB,Submitted,Sat Mar 13 10:10:14 PST 2021,Sat Mar 13 10:10:49 PST 2021,Tue Mar 16 11:10:49 PDT 2021,,,,35,0% (0/1),0% (0/1),0% (0/1),,"A hike up Jamaica's tallest peak may seem daunting, but with a guide in the lead to ensure your comfort and safety, you can focus on the scenery of the Blue Mountains. Lace up your hiking boots and make your way up the 7,200-foot (2,195-meter) Blue Mountain Peak, a UNESCO World Heritage Site, with a guide providing directions and commentary along the way. Learn about the region's geology, flora, and fauna through guided narrative and take a rest at the top of the peak to enjoy the panoramic views and snap photos.","hike up, hiking,",,
307L9TDWJY21NYIGLRBF8B0Q65ON3S,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Fri Mar 12 03:37:18 PST 2021,4,BatchId:4364750;OriginalHitTemplateId:928390909;,300,259200,Fri Mar 19 04:37:18 PDT 2021,,,3LPW2N6LKUCKINNNMDGVQNMRXWHU59,A3U5D83UGFY23Y,Rejected,Fri Mar 12 03:43:26 PST 2021,Fri Mar 12 03:44:26 PST 2021,Mon Mar 15 04:44:26 PDT 2021,,Sat Mar 13 10:06:33 PST 2021,This is not an activity,60,0% (0/4),0% (0/4),0% (0/4),,"A hike up Jamaica's tallest peak may seem daunting, but with a guide in the lead to ensure your comfort and safety, you can focus on the scenery of the Blue Mountains. Lace up your hiking boots and make your way up the 7,200-foot (2,195-meter) Blue Mountain Peak, a UNESCO World Heritage Site, with a guide providing directions and commentary along the way. Learn about the region's geology, flora, and fauna through guided narrative and take a rest at the top of the peak to enjoy the panoramic views and snap photos.",/Blue Mountain Peak,,
307L9TDWJY21NYIGLRBF8B0Q65ON3S,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Fri Mar 12 03:37:18 PST 2021,4,BatchId:4364750;OriginalHitTemplateId:928390909;,300,259200,Fri Mar 19 04:37:18 PDT 2021,,,3SPJ033422D96VMDLGHEUIB9BLMYJW,AHXHM1PQTRWIQ,Submitted,Fri Mar 12 03:38:56 PST 2021,Fri Mar 12 03:41:53 PST 2021,Mon Mar 15 04:41:53 PDT 2021,,,,177,0% (0/0),0% (0/0),0% (0/0),,"A hike up Jamaica's tallest peak may seem daunting, but with a guide in the lead to ensure your comfort and safety, you can focus on the scenery of the Blue Mountains. Lace up your hiking boots and make your way up the 7,200-foot (2,195-meter) Blue Mountain Peak, a UNESCO World Heritage Site, with a guide providing directions and commentary along the way. Learn about the region's geology, flora, and fauna through guided narrative and take a rest at the top of the peak to enjoy the panoramic views and snap photos.",Hiking,,
307L9TDWJY21NYIGLRBF8B0Q65ON3S,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Fri Mar 12 03:37:18 PST 2021,4,BatchId:4364750;OriginalHitTemplateId:928390909;,300,259200,Fri Mar 19 04:37:18 PDT 2021,,,3Y9N9SS8LZLVN6PXMZ2D1QKJX0V3DI,A2WZNLI23LGXBC,Submitted,Fri Mar 12 03:38:46 PST 2021,Fri Mar 12 03:39:18 PST 2021,Mon Mar 15 04:39:18 PDT 2021,,,,32,0% (0/0),0% (0/0),0% (0/0),,"A hike up Jamaica's tallest peak may seem daunting, but with a guide in the lead to ensure your comfort and safety, you can focus on the scenery of the Blue Mountains. Lace up your hiking boots and make your way up the 7,200-foot (2,195-meter) Blue Mountain Peak, a UNESCO World Heritage Site, with a guide providing directions and commentary along the way. Learn about the region's geology, flora, and fauna through guided narrative and take a rest at the top of the peak to enjoy the panoramic views and snap photos.",/Hiking,,
3V0TR1NRVACFLB7VC1BTWA8WLYLA4G,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Fri Mar 12 03:37:18 PST 2021,3,BatchId:4364750;OriginalHitTemplateId:928390909;,300,259200,Fri Mar 19 04:37:18 PDT 2021,,,34FNN24DCNJ1ZW7SWEDKT8S4TKS5YI,A2WZNLI23LGXBC,Submitted,Fri Mar 12 03:39:44 PST 2021,Fri Mar 12 03:40:01 PST 2021,Mon Mar 15 04:40:01 PDT 2021,,,,17,0% (0/0),0% (0/0),0% (0/0),,"Allow one of our skippers to swift you away to some of the best beaches in the US and British Virgin Islands. Enjoy a comfortable and hassle-free experience onboard one of our 35' Private Boat charters. Climb on board one of our comfortable boats and allow our captains to customize the itinerary to you, experiencing premier snorkel and swim locations such as Lovango Cay, Maho Bay, The Baths and so much more. Enjoy your day and allow us to complete your experience. Snorkel Gear, floats, music and full-size cooler on board as well as hotel pick up.

• Visit prime Virgin island beaches onboard your private boat charter from St Thomas or St John.
• Premier Snorkel and swim locations as well as hidden treasures you may otherwise miss.
• Worry-Free beach hopping: skippered powerboat 
• Customizable Itinerary
• Snorkel gear, floats, music, cooler and hotel pickup included.
• Relax and Enjoy 
",/Snorkelling,,
3V0TR1NRVACFLB7VC1BTWA8WLYLA4G,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Fri Mar 12 03:37:18 PST 2021,3,BatchId:4364750;OriginalHitTemplateId:928390909;,300,259200,Fri Mar 19 04:37:18 PDT 2021,,,3OB0CAO74IZDFPRNXGETI5VUYTIYHR,AHXHM1PQTRWIQ,Submitted,Fri Mar 12 03:38:51 PST 2021,Fri Mar 12 03:40:30 PST 2021,Mon Mar 15 04:40:30 PDT 2021,,,,99,0% (0/0),0% (0/0),0% (0/0),,"Allow one of our skippers to swift you away to some of the best beaches in the US and British Virgin Islands. Enjoy a comfortable and hassle-free experience onboard one of our 35' Private Boat charters. Climb on board one of our comfortable boats and allow our captains to customize the itinerary to you, experiencing premier snorkel and swim locations such as Lovango Cay, Maho Bay, The Baths and so much more. Enjoy your day and allow us to complete your experience. Snorkel Gear, floats, music and full-size cooler on board as well as hotel pick up.

• Visit prime Virgin island beaches onboard your private boat charter from St Thomas or St John.
• Premier Snorkel and swim locations as well as hidden treasures you may otherwise miss.
• Worry-Free beach hopping: skippered powerboat 
• Customizable Itinerary
• Snorkel gear, floats, music, cooler and hotel pickup included.
• Relax and Enjoy 
",Snorkeling,,
3V0TR1NRVACFLB7VC1BTWA8WLYLA4G,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Fri Mar 12 03:37:18 PST 2021,3,BatchId:4364750;OriginalHitTemplateId:928390909;,300,259200,Fri Mar 19 04:37:18 PDT 2021,,,3VELCLL3GLTWBNPEQ1JK1X87BTX1FZ,AKSLU0C30G3JT,Submitted,Fri Mar 12 03:40:09 PST 2021,Fri Mar 12 03:41:25 PST 2021,Mon Mar 15 04:41:25 PDT 2021,,,,76,0% (0/1),0% (0/1),0% (0/1),,"Allow one of our skippers to swift you away to some of the best beaches in the US and British Virgin Islands. Enjoy a comfortable and hassle-free experience onboard one of our 35' Private Boat charters. Climb on board one of our comfortable boats and allow our captains to customize the itinerary to you, experiencing premier snorkel and swim locations such as Lovango Cay, Maho Bay, The Baths and so much more. Enjoy your day and allow us to complete your experience. Snorkel Gear, floats, music and full-size cooler on board as well as hotel pick up.

• Visit prime Virgin island beaches onboard your private boat charter from St Thomas or St John.
• Premier Snorkel and swim locations as well as hidden treasures you may otherwise miss.
• Worry-Free beach hopping: skippered powerboat 
• Customizable Itinerary
• Snorkel gear, floats, music, cooler and hotel pickup included.
• Relax and Enjoy 
",/swim,,
